epoch,train_loss,val_loss,test_acc@1,test_acc@5
1,6.987288862,6.765445752,37.41%,86.92%
2,6.782802731,6.281272314,38.61%,88.11%
3,6.727042814,6.250471924,41.01%,89.25%
4,6.667095969,6.116817236,42.26%,89.80%
5,6.638177355,6.07275874,43.78%,90.71%
6,6.609896948,6.178506006,44.29%,90.35%
7,6.570252518,6.069047754,46.18%,92.01%
8,6.548776418,6.396819775,47.05%,92.23%
9,6.507570426,6.360834229,49.65%,93.04%
10,6.486426651,6.199994336,50.26%,93.81%
11,6.460891594,6.431294434,50.58%,93.67%
12,6.449244152,6.451487109,52.54%,94.29%
13,6.427027772,6.299346729,53.31%,94.81%
14,6.410035759,6.245799268,53.98%,94.90%
15,6.400113563,6.283190186,55.91%,95.00%
16,6.38856853,6.481566699,56.06%,95.51%
17,6.379434784,6.166778369,57.99%,95.84%
18,6.365785152,6.333385303,58.27%,96.05%
19,6.359422197,6.114676709,58.70%,95.90%
20,6.351565957,6.190172998,59.74%,96.15%
21,6.342505803,6.17825791,60.81%,96.54%
22,6.303850909,6.082135059,61.45%,96.67%
23,6.295302808,5.985183643,62.64%,96.78%
24,6.286379417,6.148492334,62.32%,96.81%
25,6.283241222,6.045288135,62.75%,96.63%
26,6.275926322,6.068706836,63.57%,97.18%
27,6.272741824,6.034996045,63.66%,96.97%
28,6.27317816,6.031095801,63.80%,97.04%
29,6.259160757,5.998576904,63.44%,96.88%
30,6.262904237,6.00442124,64.48%,97.18%
31,6.25889049,6.004030029,63.91%,97.22%
32,6.252889891,6.041121436,64.32%,97.33%
33,6.25496465,5.998509326,64.86%,97.39%
34,6.247365048,5.99138418,64.88%,97.36%
35,6.248809278,6.010730566,65.52%,97.38%
36,6.246156891,5.982455957,65.65%,97.60%
37,6.244058688,6.038686182,65.76%,97.53%
38,6.244300445,5.991421143,65.71%,97.38%
39,6.244352033,6.026431885,65.46%,97.37%
40,6.238435924,6.00394541,66.36%,97.73%
41,6.237452755,5.971451807,66.10%,97.54%
42,6.238896906,6.055141016,65.87%,97.36%
43,6.235911022,5.997393896,66.32%,97.58%
44,6.231421262,5.994942139,66.45%,97.55%
45,6.231382201,5.972179883,66.87%,97.82%
46,6.226448139,6.003034131,66.93%,97.79%
47,6.230108639,5.985631982,66.63%,97.58%
48,6.225891908,5.960007666,67.01%,97.68%
49,6.222866346,6.003777393,67.10%,97.79%
50,6.224024137,5.988718896,67.64%,97.83%
51,6.221611967,5.983830957,67.15%,97.57%
52,6.222458522,5.973341553,67.55%,97.96%
53,6.219218045,6.064922754,67.57%,97.74%
54,6.221822182,6.001088721,67.41%,97.83%
55,6.215682516,5.994748291,66.84%,97.60%
56,6.220101307,5.94895332,68.03%,97.85%
57,6.21813793,5.963827295,67.75%,97.75%
58,6.21237272,5.966428857,67.71%,97.92%
59,6.21212246,5.959422412,67.35%,97.90%
60,6.213562191,6.040216162,67.52%,97.65%
61,6.214333465,6.013343701,68.15%,97.99%
62,6.211106976,5.962375146,67.84%,97.70%
63,6.208517859,6.024587402,67.82%,97.86%
64,6.210017025,5.981205322,68.18%,97.81%
65,6.212122679,5.956221777,68.16%,97.85%
66,6.206909607,5.945926563,68.22%,97.99%
67,6.210301379,5.983112354,68.43%,97.97%
68,6.205656081,5.997805859,67.80%,97.91%
69,6.211420814,5.967293848,68.11%,97.88%
70,6.206491927,5.977490771,68.28%,97.96%
71,6.208933274,5.948516846,68.26%,97.88%
72,6.208672454,6.026978467,68.21%,97.93%
73,6.207818747,5.976319629,68.23%,97.91%
74,6.205622911,5.977165088,68.06%,97.68%
75,6.202912132,5.955665479,69.10%,97.90%
76,6.201483885,5.964364014,68.50%,97.94%
77,6.202991366,5.968628223,68.45%,97.87%
78,6.20377324,5.98014834,69.19%,98.08%
79,6.198981325,5.979591064,68.25%,97.89%
80,6.2013566,5.968056738,68.52%,97.83%
81,6.197367628,5.96154668,69.01%,97.97%
82,6.20246915,5.984090918,68.10%,97.80%
83,6.202369382,5.978945313,68.70%,97.84%
84,6.198603769,5.951020703,69.24%,98.12%
85,6.200393448,5.960665869,69.04%,97.88%
86,6.195703695,5.98517583,69.42%,97.86%
87,6.202497393,5.984497754,68.50%,97.83%
88,6.197118958,5.933696777,69.46%,98.00%
89,6.197230528,5.936021387,69.87%,98.04%
90,6.19247962,6.043309131,68.71%,98.06%
91,6.201297273,5.943858691,69.19%,97.85%
92,6.196771731,6.009107227,68.58%,97.84%
93,6.197327226,5.944262988,68.89%,97.90%
94,6.195810785,5.968411328,68.54%,97.87%
95,6.195542167,6.017928369,68.91%,97.84%
96,6.198016137,5.942949316,69.31%,97.96%
97,6.196123968,5.915099561,69.39%,97.95%
98,6.198534141,6.002725439,69.06%,97.98%
99,6.1975529,5.959968018,69.49%,97.89%
100,6.196997156,5.956764111,69.76%,98.13%
